transaction_id,build_profile,use_case,target_budget,cpu,cpu_brand,cpu_socket,cpu_mark,gpu,gpu_brand,gpu_mark,motherboard,motherboard_socket,ram,ram_type,ram_gb,storage,storage_type,storage_gb,psu,psu_wattage,required_wattage_with_headroom,total_price,compatibility_valid,data_origin
TX00014,midrange_gaming,Gaming,1984.22,Intel Core i7-11700K @ 3.60GHz,Intel,LGA1200,24749,Radeon RX 6800,Radeon,22200,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,MSI MAG A650BN,650,562,1518.0,True,synthetic_expected_pairing
TX00015,budget_gaming,Gaming,1251.95,Intel Core i5-11600K @ 3.90GHz,Intel,LGA1200,19781,GeForce RTX 2060,NVIDIA,14100,Gigabyte B560 AORUS PRO AX,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,448,930.99,True,synthetic_expected_pairing
TX00016,budget_gaming,Gaming,1418.87,Intel Core i7-10700KF @ 3.80GHz,Intel,LGA1200,19143,Radeon RX 6600 XT,Radeon,16500,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,441,1040.99,True,synthetic_expected_pairing
TX00017,midrange_gaming,Gaming,1763.94,Intel Core i5-12400F,Intel,LGA1700,19659,GeForce RTX 3070,NVIDIA,22400,Gigabyte Z790 Gaming X AX,LGA1700,G.Skill Flare X5 32GB DDR5,DDR5,32,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,Corsair CV550,550,471,1629.98,True,synthetic_expected_pairing
TX00018,budget_gaming,Gaming,1139.18,AMD Ryzen 5 5500,AMD,AM4,19949,GeForce RTX 3060,NVIDIA,17150,MSI B550M PRO-VDH WiFi,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,376,924.0,True,synthetic_expected_pairing
TX00019,budget_gaming,Gaming,1094.58,Intel Core i9-10900F @ 2.80GHz,Intel,LGA1200,20881,Radeon RX 6600 XT,Radeon,16500,MSI MAG B560M Mortar WiFi,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,371,1077.0,True,synthetic_expected_pairing
TX00020,highend_gaming,Gaming,2886.0,AMD Ryzen 9 5950X,AMD,AM4,46195,Radeon RX 6800 XT,Radeon,24600,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Corsair RM750e,750,609,2200.74,True,synthetic_expected_pairing
TX00021,midrange_gaming,Gaming,1902.84,AMD Ryzen 7 5700X,AMD,AM4,27065,Radeon RX 6800,Radeon,22200,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,489,1520.0,True,synthetic_expected_pairing
TX00022,entry_gaming,Gaming,787.22,Intel Core i3-10320 @ 3.80GHz,Intel,LGA1200,10115,Radeon RX 6500 XT,Radeon,9440,MSI MAG B560M Mortar WiFi,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,301,734.95,True,synthetic_expected_pairing
TX00023,midrange_gaming,Gaming,1581.43,AMD Ryzen 5 5600X,AMD,AM4,22088,Radeon RX 6700 XT,Radeon,19800,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,463,1147.99,True,synthetic_expected_pairing
TX00024,midrange_gaming,Gaming,1496.86,AMD Ryzen 7 PRO 3700,AMD,AM4,22800,GeForce RTX 3060 Ti,NVIDIA,20500,MSI B550M PRO-VDH WiFi,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,418,1404.99,True,synthetic_expected_pairing
TX00025,entry_gaming,Gaming,817.65,Intel Core i3-12300,Intel,LGA1700,14955,GeForce GTX 1650,NVIDIA,7870,ASUS Prime B760M-A WiFi,LGA1700,Corsair Vengeance 16GB DDR5,DDR5,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,251,760.0,True,synthetic_expected_pairing
TX00026,midrange_gaming,Gaming,1435.2,AMD Ryzen 7 3800X,AMD,AM4,23275,GeForce RTX 3070,NVIDIA,22400,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,502,1445.59,True,synthetic_expected_pairing
TX00027,entry_gaming,Gaming,1033.17,AMD Ryzen 5 2400G,AMD,AM4,8729,GeForce GTX 1660 Super,NVIDIA,12750,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,316,791.0,True,synthetic_expected_pairing
TX00028,midrange_gaming,Gaming,1552.58,Intel Core i7-12700,Intel,LGA1700,31659,Radeon RX 6700 XT,Radeon,19800,MSI PRO B760M-A WiFi DDR5,LGA1700,Corsair Vengeance 32GB DDR5,DDR5,32,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,MSI MAG A650BN,650,465,1423.0,True,synthetic_expected_pairing
TX00029,midrange_gaming,Gaming,1659.4,AMD Ryzen 5 5500,AMD,AM4,19949,GeForce RTX 3070,NVIDIA,22400,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,450,1356.0,True,synthetic_expected_pairing
TX00030,general_productivity,General Productivity,989.06,Intel Core i5-11600 @ 2.80GHz,Intel,LGA1200,18318,Radeon RX 6600,Radeon,15100,ASUS Prime B560M-A,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,327,857.41,True,synthetic_expected_pairing
TX00031,midrange_gaming,Gaming,1867.73,AMD Ryzen 7 5800X3D,AMD,AM4,25508,GeForce RTX 3060,NVIDIA,17150,Gigabyte B550 AORUS Elite AX V2,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,Corsair CV550,550,436,1424.0,True,synthetic_expected_pairing
TX00032,budget_gaming,Gaming,1108.61,AMD Ryzen 5 5600X,AMD,AM4,22088,Radeon RX 6600,Radeon,15100,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,333,927.99,True,synthetic_expected_pairing
TX00033,midrange_gaming,Gaming,1529.05,AMD Ryzen 9 3900,AMD,AM4,30660,GeForce RTX 3060,NVIDIA,17150,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,385,1388.27,True,synthetic_expected_pairing
TX00034,entry_gaming,Gaming,786.87,AMD Ryzen 5 1600X,AMD,AM4,12943,Radeon RX 6500 XT,Radeon,9440,Gigabyte B550 AORUS Elite AX V2,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,340,814.46,True,synthetic_expected_pairing
TX00035,budget_gaming,Gaming,1104.16,Intel Core i9-10900 @ 2.80GHz,Intel,LGA1200,20446,Radeon RX 6600 XT,Radeon,16500,Gigabyte B560 AORUS PRO AX,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,372,1186.97,True,synthetic_expected_pairing
TX00036,general_productivity,General Productivity,1150.33,AMD Ryzen 7 PRO 4750G,AMD,AM4,20570,GeForce GTX 1650,NVIDIA,7870,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,255,940.99,True,synthetic_expected_pairing
TX00037,highend_gaming,Gaming,2286.51,Intel Core i9-12900,Intel,LGA1700,38281,GeForce RTX 3080 Ti,NVIDIA,27100,Gigabyte Z790 Gaming X AX,LGA1700,G.Skill Flare X5 32GB DDR5,DDR5,32,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Cooler Master MWE 650 Bronze V2,650,641,2454.0,True,synthetic_expected_pairing
TX00038,entry_gaming,Gaming,756.29,AMD Ryzen 5 1600X,AMD,AM4,12943,Radeon RX 6500 XT,Radeon,9440,MSI B550M PRO-VDH WiFi,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Kingston NV2 500GB NVMe SSD,NVMe,500,MSI MAG A650BN,650,332,710.46,True,synthetic_expected_pairing
TX00039,budget_gaming,Gaming,1355.5,AMD Ryzen 5 5600X,AMD,AM4,22088,GeForce RTX 2060,NVIDIA,14100,ASUS TUF Gaming B550-PLUS WiFi II,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,372,1011.99,True,synthetic_expected_pairing
TX00040,workstation,Workstation,2424.34,Intel Core i9-12900F,Intel,LGA1700,35726,Radeon RX 6800,Radeon,22200,ASUS Prime B760M-A WiFi,LGA1700,Kingston Fury Beast 64GB DDR5,DDR5,64,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,MSI MAG A650BN,650,497,1984.99,True,synthetic_expected_pairing
TX00041,midrange_gaming,Gaming,1905.71,AMD Ryzen 9 3900,AMD,AM4,30660,Radeon RX 6700 XT,Radeon,19800,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,461,1438.27,True,synthetic_expected_pairing
TX00042,midrange_gaming,Gaming,1621.66,Intel Core i9-10900 @ 2.80GHz,Intel,LGA1200,20446,GeForce RTX 3070,NVIDIA,22400,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,444,1526.97,True,synthetic_expected_pairing
TX00043,highend_gaming,Gaming,2185.68,AMD Ryzen 9 5900X,AMD,AM4,39457,GeForce RTX 3080,NVIDIA,25300,Gigabyte B550 AORUS Elite AX V2,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair RM750e,750,632,1868.03,True,synthetic_expected_pairing
TX00044,budget_gaming,Gaming,1133.14,Intel Core i5-10500 @ 3.10GHz,Intel,LGA1200,13056,GeForce RTX 3060,NVIDIA,17150,MSI MAG B560M Mortar WiFi,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,383,950.88,True,synthetic_expected_pairing
TX00045,budget_gaming,Gaming,1286.48,Intel Core i5-11600 @ 2.80GHz,Intel,LGA1200,18318,Radeon RX 6600 XT,Radeon,16500,MSI MAG B560M Mortar WiFi,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,372,1017.41,True,synthetic_expected_pairing
TX00046,budget_gaming,Gaming,1059.14,Intel Core i5-11600 @ 2.80GHz,Intel,LGA1200,18318,Radeon RX 6600 XT,Radeon,16500,ASUS Prime B560M-A,LGA1200,G.Skill Ripjaws V 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,366,1011.41,True,synthetic_expected_pairing
TX00047,midrange_gaming,Gaming,1585.12,AMD Ryzen 7 PRO 4750G,AMD,AM4,20570,GeForce RTX 3060 Ti,NVIDIA,20500,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,415,1266.99,True,synthetic_expected_pairing
TX00048,general_productivity,General Productivity,1029.6,Intel Core i5-11500 @ 2.70GHz,Intel,LGA1200,17626,Radeon RX 6500 XT,Radeon,9440,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,294,798.19,True,synthetic_expected_pairing
TX00049,budget_gaming,Gaming,1241.9,AMD Ryzen 3 3300X,AMD,AM4,12746,GeForce RTX 3060,NVIDIA,17150,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,383,1080.99,True,synthetic_expected_pairing
TX00050,general_productivity,General Productivity,822.9,AMD Ryzen 5 1600,AMD,AM4,12314,GeForce RTX 2060,NVIDIA,14100,ASUS TUF Gaming B550-PLUS WiFi II,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,371,880.82,True,synthetic_expected_pairing
TX00051,workstation,Workstation,2142.7,Intel Core i9-12900,Intel,LGA1700,38281,Radeon RX 6800,Radeon,22200,MSI PRO B760M-A WiFi DDR5,LGA1700,Corsair Vengeance 32GB DDR5,DDR5,32,WD Blue 4TB HDD,HDD,4000,Corsair CV550,550,493,1794.0,True,synthetic_expected_pairing
TX00052,budget_gaming,Gaming,1276.8,Intel Core i5-12500,Intel,LGA1700,20309,Radeon RX 6600 XT,Radeon,16500,ASUS Prime B760M-A WiFi,LGA1700,Kingston Fury Beast 16GB DDR5,DDR5,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,368,943.0,True,synthetic_expected_pairing
TX00053,workstation,Workstation,1839.63,AMD Ryzen 9 5950X,AMD,AM4,46195,GeForce RTX 3060 Ti,NVIDIA,20500,Gigabyte B550 AORUS Elite AX V2,AM4,Kingston Fury Beast 64GB DDR4,DDR4,64,Seagate Barracuda 2TB HDD,HDD,2000,MSI MAG A650BN,650,485,1804.74,True,synthetic_expected_pairing
TX00054,entry_gaming,Gaming,945.62,Intel Core i5-10400F @ 2.90GHz,Intel,LGA1200,12439,GeForce GTX 1650,NVIDIA,7870,MSI MAG B560M Mortar WiFi,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,259,769.99,True,synthetic_expected_pairing
TX00055,budget_gaming,Gaming,1140.64,AMD Ryzen 7 4700G,AMD,AM4,20138,GeForce GTX 1660 Super,NVIDIA,12750,Gigabyte B550 AORUS Elite AX V2,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,327,1064.0,True,synthetic_expected_pairing
TX00056,general_productivity,General Productivity,1193.18,Intel Core i3-12100T,Intel,LGA1700,12767,GeForce GTX 1660 Super,NVIDIA,12750,Gigabyte Z790 Gaming X AX,LGA1700,Kingston Fury Beast 16GB DDR5,DDR5,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,305,953.0,True,synthetic_expected_pairing
TX00057,budget_gaming,Gaming,1343.08,Intel Core i7-11700 @ 2.50GHz,Intel,LGA1200,20588,Radeon RX 6600 XT,Radeon,16500,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,401,973.99,True,synthetic_expected_pairing
TX00058,midrange_gaming,Gaming,1510.19,AMD Ryzen 5 3600XT,AMD,AM4,18780,Radeon RX 6700 XT,Radeon,19800,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,502,1258.52,True,synthetic_expected_pairing
TX00059,midrange_gaming,Gaming,1709.43,AMD Ryzen 9 3900X,AMD,AM4,32751,GeForce RTX 3060 Ti,NVIDIA,20500,Gigabyte B550 AORUS Elite AX V2,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,474,1370.0,True,synthetic_expected_pairing
TX00060,midrange_gaming,Gaming,1405.38,AMD Ryzen 7 5800X3D,AMD,AM4,25508,GeForce RTX 3060,NVIDIA,17150,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,431,1380.0,True,synthetic_expected_pairing
TX00061,midrange_gaming,Gaming,1983.35,Intel Core i7-10700K @ 3.80GHz,Intel,LGA1200,19277,GeForce RTX 3070,NVIDIA,22400,ASUS Prime B560M-A,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Corsair CV550,550,522,1593.98,True,synthetic_expected_pairing
TX00062,midrange_gaming,Gaming,1480.62,AMD Ryzen 5 5500,AMD,AM4,19949,Radeon RX 6700 XT,Radeon,19800,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,463,1100.0,True,synthetic_expected_pairing
TX00063,budget_gaming,Gaming,1078.07,AMD Ryzen 7 5700G,AMD,AM4,24545,Radeon RX 6600 XT,Radeon,16500,ASUS TUF Gaming B550-PLUS WiFi II,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,Kingston NV2 500GB NVMe SSD,NVMe,500,MSI MAG A650BN,650,371,1014.0,True,synthetic_expected_pairing
TX00064,midrange_gaming,Gaming,1505.67,AMD Ryzen 7 5700G,AMD,AM4,24545,GeForce RTX 3060 Ti,NVIDIA,20500,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,418,1294.0,True,synthetic_expected_pairing
TX00065,entry_gaming,Gaming,1002.49,Intel Core i5-10600 @ 3.30GHz,Intel,LGA1200,13928,GeForce RTX 2060,NVIDIA,14100,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,363,920.99,True,synthetic_expected_pairing
TX00066,budget_gaming,Gaming,1027.84,AMD Ryzen 7 PRO 3700,AMD,AM4,22800,GeForce GTX 1660 Super,NVIDIA,12750,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,323,980.99,True,synthetic_expected_pairing
TX00067,workstation,Workstation,2436.09,Intel Core i9-12900KS,Intel,LGA1700,44243,GeForce RTX 3060 Ti,NVIDIA,20500,Gigabyte Z790 Gaming X AX,LGA1700,Kingston Fury Beast 64GB DDR5,DDR5,64,Seagate Barracuda 2TB HDD,HDD,2000,Corsair RM750e,750,563,2224.98,True,synthetic_expected_pairing
TX00068,general_productivity,General Productivity,1221.89,AMD Ryzen 5 2600,AMD,AM4,13195,GeForce RTX 2060,NVIDIA,14100,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,370,885.88,True,synthetic_expected_pairing
TX00069,highend_gaming,Gaming,2656.05,Intel Core i7-12700,Intel,LGA1700,31659,Radeon RX 6900 XT,Radeon,26400,MSI PRO B760M-A WiFi DDR5,LGA1700,G.Skill Flare X5 32GB DDR5,DDR5,32,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Cooler Master MWE 650 Bronze V2,650,557,2073.0,True,synthetic_expected_pairing
TX00070,midrange_gaming,Gaming,1513.44,AMD Ryzen 7 4700G,AMD,AM4,20138,GeForce RTX 3070,NVIDIA,22400,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,441,1406.0,True,synthetic_expected_pairing
TX00071,general_productivity,General Productivity,1062.44,AMD Ryzen 5 4500,AMD,AM4,16698,Radeon RX 6500 XT,Radeon,9440,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,301,772.75,True,synthetic_expected_pairing
TX00072,entry_gaming,Gaming,727.73,AMD Ryzen 7 1700X,AMD,AM4,15496,GeForce GTX 1650,NVIDIA,7870,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,297,735.06,True,synthetic_expected_pairing
TX00073,midrange_gaming,Gaming,1865.06,AMD Ryzen 9 3900XT,AMD,AM4,32869,GeForce RTX 3070,NVIDIA,22400,Gigabyte B550 AORUS Elite AX V2,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,502,1833.77,True,synthetic_expected_pairing
TX00074,budget_gaming,Gaming,1336.29,AMD Ryzen 7 2700X,AMD,AM4,17578,GeForce RTX 3060,NVIDIA,17150,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,435,993.98,True,synthetic_expected_pairing
TX00075,midrange_gaming,Gaming,1981.27,Intel Core i5-12600KF,Intel,LGA1700,27186,GeForce RTX 3070,NVIDIA,22400,ASUS Prime B760M-A WiFi,LGA1700,G.Skill Flare X5 32GB DDR5,DDR5,32,Crucial P3 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,561,1531.98,True,synthetic_expected_pairing
