antecedents,consequents,support,confidence,lift
GPU:Radeon RX 6500 XT | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0162,0.4615384615384615,2.509725185092232
PSU:Cooler Master MWE 650 Bronze V2,Storage:Crucial P3 Plus 2TB NVMe SSD,0.016,0.28520499108734404,2.4865300007615
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,GPU:GeForce GTX 1660 Super,0.0149,0.2264437689969605,2.4038616666344
RAM:Kingston Fury Beast 64GB DDR5,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0143,0.2729007633587786,2.379256873223876
GPU:Radeon RX 6700 XT,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 32GB DDR4,0.014,0.25225225225225223,2.373022128431347
GPU:GeForce GTX 1660 Super | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0149,0.4331395348837209,2.355299265273088
GPU:GeForce GTX 1650,Storage:Kingston NV2 500GB NVMe SSD,0.0193,0.42793791574279383,2.3270142237237295
GPU:GeForce GTX 1650 | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0151,0.4253521126760564,2.3129533043831234
RAM:Corsair Vengeance 32GB DDR5,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0137,0.2644787644787645,2.305830553432995
GPU:GeForce GTX 1650,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0151,0.3348115299334812,2.2995297385541287
RAM:G.Skill Flare X5 32GB DDR5,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0154,0.2730496453900709,2.2849342710466187
GPU:Radeon RX 6500 XT | Motherboard:MSI B550M PRO-VDH WiFi,RAM:Kingston Fury Beast 16GB DDR4,0.0103,0.4881516587677725,2.2704728314780116
GPU:Radeon RX 6500 XT | Motherboard:MSI B550M PRO-VDH WiFi,RAM:Corsair Vengeance LPX 16GB DDR4,0.0103,0.4881516587677725,2.2158495631764525
GPU:GeForce GTX 1660 Super | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.014,0.4069767441860465,2.213032866699546
GPU:Radeon RX 6500 XT | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0174,0.47540983606557374,2.2112085398398778
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,GPU:GeForce GTX 1660 Super,0.014,0.206794682422452,2.1952726371810187
GPU:Radeon RX 6500 XT,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0287,0.368421052631579,2.1671826625387
Motherboard:ASUS Prime B560M-A | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0137,0.39255014326647564,2.134584792096115
GPU:GeForce GTX 1660 Super | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0291,0.39112903225806456,2.126857162904103
GPU:GeForce GTX 1660 Super,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0291,0.3089171974522293,2.1216840484356405
Motherboard:Gigabyte Z790 Gaming X AX,Storage:Samsung 990 Pro 2TB NVMe SSD,0.023,0.25274725274725274,2.1150397719435374
GPU:Radeon RX 6500 XT,RAM:Kingston Fury Beast 16GB DDR4,0.0354,0.45442875481386397,2.113622115413321
GPU:GeForce RTX 2060 | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.013,0.38805970149253727,2.110166946669588
GPU:Radeon RX 6500 XT | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0287,0.4533965244865719,2.1088210441235904
GPU:GeForce GTX 1660 Super,Storage:Kingston NV2 500GB NVMe SSD,0.0365,0.38747346072186833,2.106979123011791
GPU:Radeon RX 6500 XT,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0285,0.3658536585365854,2.1050268040079714
GPU:Radeon RX 6700 XT | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.014,0.34063260340632606,2.103969137778419
GPU:GeForce GTX 1650 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0164,0.4619718309859156,2.0970123966677967
GPU:GeForce GTX 1650,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0164,0.36363636363636365,2.092269065801862
GPU:GeForce GTX 1650,RAM:Kingston Fury Beast 16GB DDR4,0.0202,0.44789356984478934,2.0832259062548344
GPU:Radeon RX 6500 XT | PSU:Corsair CV550,Motherboard:ASUS Prime B560M-A,0.0141,0.2227488151658768,2.079820869896142
GPU:GeForce RTX 2060 | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0129,0.3805309734513274,2.06922769685333
Motherboard:Gigabyte B550 AORUS Elite AX V2 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0142,0.44236760124610597,2.057523726726074
GPU:GeForce GTX 1650 | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0157,0.4422535211267606,2.0569931215198167
GPU:GeForce GTX 1650,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0157,0.3481152993348115,2.0477370549106557
GPU:Radeon RX 6500 XT,RAM:Corsair Vengeance LPX 16GB DDR4,0.0351,0.4505776636713736,2.0452912558845826
GPU:Radeon RX 6500 XT | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0285,0.4502369668246446,2.0437447427355635
GPU:Radeon RX 6500 XT,Motherboard:ASUS Prime B560M-A,0.0168,0.21566110397946084,2.013642427445946
GPU:Radeon RX 6500 XT | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0162,0.4426229508196721,2.0091827091224337
Motherboard:Gigabyte Z790 Gaming X AX,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0208,0.22857142857142856,1.9927761863245734
Motherboard:MSI MAG B560M Mortar WiFi | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0107,0.43852459016393436,1.9905791655194478
GPU:GeForce GTX 1650,RAM:Corsair Vengeance LPX 16GB DDR4,0.0197,0.4368070953436807,1.982783002013984
GPU:Radeon RX 6700 XT,RAM:Corsair Vengeance LPX 32GB DDR4,0.0178,0.3207207207207207,1.9809803626974722
RAM:Corsair Vengeance 32GB DDR5,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0122,0.23552123552123555,1.9708890001777035
RAM:G.Skill Flare X5 32GB DDR5,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0127,0.225177304964539,1.9631848732740977
GPU:Radeon RX 6700 XT,Storage:Samsung 990 Pro 2TB NVMe SSD,0.013,0.23423423423423423,1.9601191149308304
Motherboard:MSI PRO B760M-A WiFi DDR5,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0151,0.2330246913580247,1.949997417221964
GPU:GeForce RTX 2060 | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.029,0.3553921568627451,1.9325294011024747
Motherboard:ASUS Prime B560M-A | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0137,0.42414860681114547,1.9253227726334339
Motherboard:MSI B550M PRO-VDH WiFi | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0154,0.4128686327077748,1.920319221896627
Motherboard:ASUS Prime B560M-A | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0131,0.353099730458221,1.9200637871572648
RAM:Kingston Fury Beast 64GB DDR4,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0124,0.3220779220779221,1.9182723173193692
GPU:GeForce RTX 2060,Storage:Kingston NV2 500GB NVMe SSD,0.0371,0.35165876777251187,1.9122282097472096
Storage:Kingston NV2 500GB NVMe SSD,GPU:GeForce RTX 2060,0.0371,0.20174007612833061,1.9122282097472096
GPU:GeForce GTX 1660 Super | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0149,0.4082191780821918,1.8986938515450782
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,Motherboard:ASUS Prime B560M-A,0.0137,0.20236336779911376,1.8894805583484011
GPU:GeForce RTX 2060,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.029,0.27488151658767773,1.8879225040362482
Motherboard:ASUS Prime B560M-A | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0131,0.4055727554179566,1.8863849089207285
Motherboard:MSI PRO B760M-A WiFi DDR5,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0139,0.21450617283950618,1.8701497196120853
Motherboard:MSI B550M PRO-VDH WiFi | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0153,0.4101876675603217,1.861950374763149
Motherboard:Gigabyte B550 AORUS Elite AX V2 | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0142,0.3405275779376499,1.8516997168985854
GPU:Radeon RX 6800 | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.0116,0.2822384428223844,1.8162061957682394
PSU:Corsair CV550 | Storage:Samsung 990 Pro 2TB NVMe SSD,RAM:Corsair Vengeance LPX 32GB DDR4,0.0131,0.2924107142857143,1.806119297626401
GPU:Radeon RX 6500 XT,Motherboard:MSI B550M PRO-VDH WiFi | PSU:Corsair CV550,0.0168,0.21566110397946084,1.7912051825536615
GPU:GeForce RTX 3060 Ti | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.0169,0.27704918032786885,1.7828132582230942
GPU:Radeon RX 6500 XT | RAM:Corsair Vengeance LPX 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0103,0.2934472934472935,1.7720247188846225
GPU:GeForce RTX 3060 Ti,Storage:Crucial P3 Plus 2TB NVMe SSD,0.018,0.2029312288613303,1.7692347764719294
Motherboard:ASUS Prime B560M-A | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0265,0.32475490196078427,1.7659320389384678
Motherboard:MSI MAG B560M Mortar WiFi | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0107,0.3232628398791541,1.7578185964064932
GPU:Radeon RX 6500 XT | RAM:Kingston Fury Beast 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0103,0.2909604519774011,1.7570075602500068
GPU:GeForce GTX 1660 Super | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.014,0.3835616438356165,1.741087806788999
PSU:Corsair CV550 | Storage:Crucial P3 Plus 2TB NVMe SSD,RAM:G.Skill Ripjaws V 32GB DDR4,0.0108,0.2693266832917706,1.733118940101484
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | PSU:MSI MAG A650BN,RAM:Corsair Vengeance LPX 32GB DDR4,0.0108,0.2790697674418605,1.7237169082264394
Motherboard:MSI B550M PRO-VDH WiFi | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0154,0.3155737704918033,1.7160074523752218
GPU:GeForce RTX 3060 Ti | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.0169,0.27704918032786885,1.7112364442734334
PSU:Corsair CV550 | Storage:Samsung 990 Pro 2TB NVMe SSD,RAM:G.Skill Ripjaws V 32GB DDR4,0.0119,0.265625,1.7092985842985842
GPU:GeForce RTX 3070 | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.0154,0.2646048109965636,1.702733661496548
GPU:GeForce RTX 3060 Ti | PSU:Corsair CV550,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0124,0.20327868852459016,1.7010768914191645
Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0265,0.24743230625583565,1.699397707801069
GPU:GeForce GTX 1660 Super,RAM:Kingston Fury Beast 16GB DDR4,0.0344,0.3651804670912951,1.6985138004246283
Motherboard:Gigabyte B550 AORUS Elite AX V2 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.012,0.3738317757009346,1.696921360421855
PSU:MSI MAG A650BN | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0143,0.3733681462140992,1.6948168234866055
GPU:Radeon RX 6800,RAM:G.Skill Ripjaws V 32GB DDR4,0.0178,0.26331360946745563,1.6944247713478482
GPU:Radeon RX 6700 XT | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.0108,0.26277372262773724,1.690950596060085
PSU:MSI MAG A650BN | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0143,0.31086956521739134,1.6904272170603116
PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0528,0.3105882352941176,1.6888974186738315
Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0528,0.28711256117455136,1.6888974186738315
GPU:GeForce GTX 1660 Super | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.027,0.3629032258064516,1.6879219804951238
PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0528,0.3626373626373626,1.6866854076156401
RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0528,0.24558139534883722,1.6866854076156401
GPU:GeForce GTX 1660 Super,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.027,0.28662420382165604,1.6860247283626826
Motherboard:ASUS Prime B560M-A | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0294,0.36029411764705876,1.67578659370725
Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0677,0.3681348558999456,1.6710615338172747
RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0677,0.30730821606899683,1.6710615338172747
PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0534,0.30724971231300346,1.6707434057259567
Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0534,0.2903752039151713,1.6707434057259567
GPU:GeForce RTX 3070 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.0157,0.2697594501718213,1.6662103160705455
PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0534,0.3667582417582418,1.6648127179221144
RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0534,0.24239673172945986,1.6648127179221144
Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0658,0.35780315388798256,1.6642007157580585
RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0658,0.30604651162790697,1.6642007157580585
GPU:GeForce GTX 1660 Super,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0272,0.28874734607218683,1.6613771350528586
GPU:GeForce GTX 1660 Super | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0272,0.3655913978494624,1.6595161046276095
GPU:GeForce GTX 1660 Super,RAM:Corsair Vengeance LPX 16GB DDR4,0.0344,0.3651804670912951,1.6576507811679306
Motherboard:MSI B550M PRO-VDH WiFi | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0153,0.30478087649402386,1.657318523621663
Motherboard:ASUS Prime B560M-A,Storage:Kingston NV2 500GB NVMe SSD,0.0323,0.3015873015873016,1.6399527003115912
GPU:Radeon RX 6500 XT,Motherboard:MSI B550M PRO-VDH WiFi,0.0211,0.27086007702182285,1.6356284844312974
GPU:Radeon RX 6800,RAM:Corsair Vengeance LPX 32GB DDR4,0.0178,0.26331360946745563,1.6263965995519187
Motherboard:MSI B550M PRO-VDH WiFi | Storage:Crucial P3 1TB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0107,0.35785953177257523,1.624419118350319
GPU:Radeon RX 6800 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.0108,0.26277372262773724,1.623061906286209
GPU:GeForce RTX 2060 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0129,0.3477088948787062,1.6172506738544474
Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0294,0.2745098039215686,1.6147635524798152
Motherboard:ASUS Prime B560M-A,RAM:Kingston Fury Beast 16GB DDR4,0.0371,0.3464052287581699,1.611187110503116
GPU:Radeon RX 6500 XT | PSU:Corsair CV550,Motherboard:MSI B550M PRO-VDH WiFi,0.0168,0.26540284360189575,1.6026741763399501
Motherboard:MSI MAG B560M Mortar WiFi | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0259,0.35286103542234326,1.6017296206188982
GPU:GeForce GTX 1650,Motherboard:MSI B550M PRO-VDH WiFi,0.0119,0.2638580931263858,1.5933459729854216
GPU:GeForce RTX 2060 | Storage:Kingston NV2 500GB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.013,0.3504043126684636,1.5905779058940699
Motherboard:MSI MAG B560M Mortar WiFi,RAM:Corsair Vengeance LPX 16GB DDR4,0.0331,0.3495248152059134,1.5865856341621125
PSU:MSI MAG A650BN | RAM:Corsair Vengeance LPX 32GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0108,0.28051948051948056,1.5830670458209963
PSU:MSI MAG A650BN | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.013,0.29082774049217003,1.581445027146112
PSU:MSI MAG A650BN | Storage:Kingston NV2 500GB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.013,0.3394255874673629,1.5787236626388972
Motherboard:MSI MAG B560M Mortar WiFi,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0259,0.2734952481520591,1.573620530218982
GPU:GeForce RTX 3070,RAM:G.Skill Ripjaws V 32GB DDR4,0.021,0.24193548387096775,1.556856395566073
GPU:GeForce RTX 3060 Ti,RAM:Corsair Vengeance LPX 32GB DDR4,0.0223,0.25140924464487036,1.5528674777323679
GPU:GeForce RTX 3060 Ti,RAM:G.Skill Ripjaws V 32GB DDR4,0.0214,0.24126268320180383,1.5525269189305264
RAM:Corsair Vengeance LPX 32GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0444,0.2742433600988265,1.5476487590227228
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,RAM:Corsair Vengeance LPX 32GB DDR4,0.0444,0.2505643340857788,1.5476487590227226
Motherboard:MSI B550M PRO-VDH WiFi | Storage:WD Black SN770 1TB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0121,0.34084507042253526,1.5471859755902644
PSU:Corsair RM750e,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0111,0.2733990147783252,1.542883830577456
